tick, CC, CD, DC, DD
1129,144,618,83,348
1130,133,616,81,361
1131,128,608,82,355
1132,126,592,89,355
1133,125,594,85,352
1134,126,609,77,355
1135,123,613,74,348
1136,118,594,71,349
1137,123,601,69,357
1138,124,596,75,365
1139,127,588,81,365
1140,131,589,86,367
1141,129,588,84,371
1142,127,600,84,370
1143,123,606,78,372
1144,137,597,77,380
1145,139,591,71,381
1146,147,579,70,378
1147,138,584,71,381
1148,147,592,77,385
1149,142,612,77,383
1150,139,596,73,387
1151,137,596,79,390
1152,136,601,77,384
1153,136,597,78,388
1154,139,601,77,383
1155,142,607,76,378
1156,142,606,71,381
1157,142,606,73,387
1158,145,597,65,392
1159,143,585,64,367
1160,134,580,63,366
1161,138,588,57,364
1162,141,581,61,369
1163,136,576,60,375
1164,139,579,63,377
1165,145,582,54,383
1166,145,584,56,361
1167,146,582,63,357
1168,147,579,65,365
1169,141,576,70,375
1170,145,596,69,365
1171,146,593,63,360
1172,146,593,63,363
1173,155,602,62,354
1174,159,618,61,354
1175,157,623,57,341
1176,154,609,56,345
1177,156,602,61,335
1178,153,584,57,332
1179,153,592,58,349
1180,147,573,61,351
1181,143,577,59,343
1182,151,594,57,348
1183,153,580,56,357
1184,144,577,55,361
1185,147,574,48,361
1186,150,557,49,358
1187,147,549,53,365
1188,152,548,53,362
1189,153,558,56,364
1190,159,557,54,380
1191,158,557,54,387
1192,157,549,53,394
1193,162,548,51,379
1194,163,534,48,375
1195,163,518,50,374
1196,165,514,54,377
1197,166,511,53,369
1198,172,512,52,381
1199,176,512,51,379
1200,178,501,50,372
1201,174,481,50,378
1202,172,485,47,371
1203,182,496,49,373
1204,186,503,47,385
1205,179,497,41,393
1206,182,475,38,404
1207,180,480,40,410
1208,169,487,41,422
1209,172,485,44,422
1210,174,482,45,438
1211,175,498,46,429
1212,172,487,43,438
1213,174,493,44,441
1214,179,511,44,413
1215,165,501,49,401
1216,172,492,47,405
1217,174,483,52,401
1218,173,484,47,399
1219,163,462,46,390
1220,169,469,46,388
1221,172,478,44,386
1222,170,485,50,386
1223,168,488,53,389
1224,164,492,52,377
1225,172,484,49,384
1226,180,487,45,380
1227,183,486,45,392
1228,177,488,46,398
1229,180,483,43,405
1230,180,471,46,407
1231,192,480,45,391
1232,192,477,45,381
1233,189,493,44,378
1234,182,512,43,377
1235,180,516,41,387
1236,181,509,49,395
1237,176,514,50,400
1238,171,527,51,388
1239,176,531,49,381
1240,172,514,48,374
1241,165,527,46,370
1242,168,522,44,361
1243,175,536,44,380
1244,176,537,50,380
1245,172,539,50,390
1246,179,531,48,400
1247,191,524,49,399
1248,191,506,49,402
1249,189,505,47,404
1250,194,494,47,407
1251,192,499,49,406
1252,194,497,50,403
1253,191,507,49,388
1254,184,516,46,395
1255,193,521,47,405
1256,190,532,50,416
1257,187,529,50,411
1258,186,539,54,403
1259,179,536,52,389
1260,176,533,55,384
1261,174,516,54,384
1262,182,522,57,387
1263,182,522,52,385
1264,171,534,51,381
1265,173,535,55,381
1266,170,538,55,393
1267,169,552,58,392
1268,174,539,55,394
1269,176,539,51,398
1270,172,527,52,390
1271,163,545,53,380
1272,164,540,48,388
1273,165,550,50,384
1274,160,551,55,400
1275,156,545,56,416
1276,152,552,61,413
1277,156,550,64,407
1278,160,553,64,406
1279,162,546,69,401
1280,172,535,76,406
1281,176,541,73,403
1282,166,538,73,396
1283,161,540,77,410
1284,163,547,74,402
1285,158,549,83,398
1286,158,545,86,400
1287,157,544,86,399
1288,153,543,82,397
1289,151,538,80,396
1290,155,528,79,392
1291,156,520,75,384
1292,164,522,82,364
1293,160,512,81,373
1294,161,521,87,377
1295,171,514,90,376
1296,173,507,99,386
1297,176,518,103,386
1298,175,530,101,380
1299,172,523,101,378
1300,166,539,106,362
1301,164,553,110,367
1302,158,548,111,375
1303,154,545,113,384
1304,145,541,109,382
1305,139,551,102,394
1306,141,567,102,402
1307,135,568,96,409
1308,131,564,105,403
1309,127,571,100,407
1310,124,565,98,402
1311,127,573,93,422
1312,131,577,89,413
1313,124,563,98,412
1314,125,575,89,402
1315,117,576,82,406
1316,112,573,86,419
1317,117,589,94,417
1318,109,579,90,419
1319,109,589,79,410
1320,118,590,82,410
1321,114,572,79,421
1322,119,575,77,429
1323,119,583,77,427
1324,120,582,85,439
1325,119,580,84,457
1326,125,584,78,452
1327,121,584,70,456
1328,117,576,65,457
1329,123,571,67,457
1330,128,559,64,443
1331,124,547,64,454
1332,124,545,68,460
1333,115,535,68,463
1334,112,546,67,458
1335,111,535,71,448
1336,110,518,73,433
1337,111,511,73,406
1338,116,515,71,399
1339,119,527,67,392
1340,119,527,70,404
1341,116,523,63,415
1342,116,527,61,418
1343,121,530,67,419
1344,125,518,63,406
1345,124,537,53,412
1346,124,532,55,404
1347,127,534,57,399
1348,130,535,57,401
1349,130,549,53,398
1350,125,564,54,414
1351,119,572,56,420
1352,124,571,51,421
1353,123,578,53,412
1354,123,570,56,402
1355,117,560,52,425
